Rotation_x , Rotation_y
0,31.52725
0,31.52725
0,31.52725
0,31.52725
0,31.52725
0,31.52725
0,31.52725
0,31.52725
0,31.52725
0,31.52725
0,31.52725
0,31.52725
0,31.52725
0,31.52725
0,31.52725
0,31.52725
0,31.52725
0,31.52725
0,31.52725
0,31.52725
0,31.52725
0,31.52725
0,31.52725
0,31.41138
0,30.90152
0,29.76192
0,28.27633
0,26.12349
0,24.43125
0,23.02497
0,22.32668
0,22.01567
359.9831,22.01567
359.6437,22.01567
358.734,22.01567
358.2061,22.01567
358.0996,22.01567
358.0996,22.01567
358.0996,22.09371
358.0996,22.54645
358.0996,23.63998
358.0996,24.4834
358.0996,24.86861
358.0996,24.87724
358.0996,24.87724
358.0996,24.87724
358.0996,24.87724
358.0996,24.87724
358.0996,24.87724
358.0996,24.87724
358.0996,24.87724
358.0996,24.87724
358.0996,24.87724
358.0996,24.87724
358.0996,24.87724
358.0996,24.87724
358.0996,24.87724
358.0996,24.87724
358.0996,24.87724
358.0996,24.87724
358.0996,24.87724
358.0996,24.87724
358.0996,24.87724
358.0996,24.87724
358.0996,24.87724
358.0996,24.87724
358.0996,24.87724
358.0996,24.87724
358.0996,24.87724
358.0996,24.87724
358.0996,24.87724
358.0996,24.87724
358.0996,24.87724
358.0996,24.87724
358.0996,24.87724
358.0996,24.87724
358.0996,24.87724
358.0996,24.87724
358.0996,24.87724
358.0996,24.87724
358.0996,24.87724
358.0996,24.87724
358.0996,24.87724
358.0996,24.87724
358.0996,24.87724
358.0996,24.87724
358.0996,24.81153
358.0996,24.38391
358.0996,23.57737
358.0996,22.04084
358.0996,20.32291
358.0996,17.84859
358.0996,15.69114
358.0996,13.31284
358.0996,11.2896
358.0996,8.839995
358.0996,6.67746
358.0996,4.25752
358.0996,2.208555
358.0996,359.8262
358.0996,357.8817
358.0996,355.4042
358.0996,352.6207
358.0996,350.1095
358.0996,347.9833
358.0996,345.6304
358.0996,343.604
358.0996,341.0702
358.0996,338.9939
358.0996,336.5624
358.0996,334.4435
358.0996,331.9001
358.0996,329.872
358.0996,327.3698
358.0996,325.1954
358.0996,322.6447
358.0996,320.5244
358.0996,318.1424
358.0996,315.9854
358.0996,313.5684
358.0996,311.4827
358.0996,309.0088
358.0996,306.9122
358.0996,304.3544
358.0996,302.1258
358.0996,299.7359
358.0996,297.6924
358.0996,295.1674
358.0996,293.1102
358.0996,290.6883
358.0996,288.4871
358.0996,286.0455
358.0996,283.937
